"location","source","target"
"strings_to_translate.php:3 strings_to_translate.php:7 strings_to_translate.php:17 strings_to_translate.php:18 strings_to_translate.php:22","Formato inválido, tem de ter 10 digitos",""
"strings_to_translate.php:4","Formato inválido, tem de ter entre 4 a 13 digitos",""
"strings_to_translate.php:5","Formato inválido, tem de ter entre 8 a 9 digitos",""
"strings_to_translate.php:6","Formato inválido, tem de ter 11 digitos",""
"strings_to_translate.php:8 strings_to_translate.php:11 strings_to_translate.php:13 strings_to_translate.php:15 strings_to_translate.php:20","Formato inválido, tem de ter 9 digitos",""
"strings_to_translate.php:9","Formato inválido, tem de ter entre 4 a 12 digitos",""
"strings_to_translate.php:10 strings_to_translate.php:14 strings_to_translate.php:19","Formato inválido, tem de ter 8 digitos",""
"strings_to_translate.php:12","Formato inválido, tem de ter entre 5 a 12 digitos",""
"strings_to_translate.php:16","Formato inválido, tem de ter entre 8 a 11 digitos",""
"strings_to_translate.php:21","Formato inválido, tem de ter entre 7 a 9 digitos",""
"strings_to_translate.php:26","Trabalho por conta de outrém a tempo inteiro",""
"strings_to_translate.php:27","Tenho o meu próprio negócio",""
"strings_to_translate.php:28","Trabalho por conta de outrém a tempo parcial",""
"strings_to_translate.php:29","Trabalho em casa",""
"strings_to_translate.php:30","Sou estudante a tempo inteiro",""
"strings_to_translate.php:31","Sou estudante em tempo parcial",""
"strings_to_translate.php:32","Estou desempregado",""
"strings_to_translate.php:36","Não é um formato válido. ex: Annnn(AAA)",""
"strings_to_translate.php:37 strings_to_translate.php:38 strings_to_translate.php:39 strings_to_translate.php:49","Não é um formato válido. ex: nnnn",""
"strings_to_translate.php:40 strings_to_translate.php:41 strings_to_translate.php:42 strings_to_translate.php:44 strings_to_translate.php:46 strings_to_translate.php:47","Não é um formato válido. ex: nnnnn",""
"strings_to_translate.php:43","Não é um formato válido. ex: FInnnnn",""
"strings_to_translate.php:45","Não é um formato válido. ex: AA(AA) nAA",""
"strings_to_translate.php:48","Não é um formato válido. ex: nnnn AA",""
"strings_to_translate.php:50","Não é um formato válido. ex: nnnn(-nnn)",""
"strings_to_translate.php:51","Não é um formato válido. ex: SEnnn nn",""
"strings_to_translate.php:52","Não é um formato válido. ex: nnnnn-nnnn",""
"strings_to_translate.php:56","Sozinho (eu sei o que quero e o que é bom para mim)",""
"strings_to_translate.php:57","Com amigos (eles são sempre honestos comigo!)",""
"strings_to_translate.php:58","Online (rápido e eficiente)",""
"strings_to_translate.php:59","É outra pessoa que normalmente compras as coisas para mim (eu não tenho tempo nem interesse)",""
"strings_to_translate.php:60","Nenhuma das respostas anteriores",""
"strings_to_translate.php:64","Banca/Finanças/Seguros",""
"strings_to_translate.php:65","Antiguidades",""
"strings_to_translate.php:66","Arte/Exposições/Museus",""
"strings_to_translate.php:67","Conferências",""
"strings_to_translate.php:68","Cozinhar",""
"strings_to_translate.php:69","Gastronomia",""
"strings_to_translate.php:70","Animação online/3D",""
"strings_to_translate.php:71","Decoração",""
"strings_to_translate.php:72","Bricolage",""
"strings_to_translate.php:73","Design",""
"strings_to_translate.php:74","Desenho/Artes plásticas",""
"strings_to_translate.php:75","Pesca",""
"strings_to_translate.php:76","Caça",""
"strings_to_translate.php:77","Jogo/Poker/Casino",""
"strings_to_translate.php:78","Artesanato",""
"strings_to_translate.php:79","Internet","Interests"
"strings_to_translate.php:80","Bebidas",""
"strings_to_translate.php:81","Tocar música",""
"strings_to_translate.php:82","Vinhos","Wins"
"strings_to_translate.php:83","Fotografia",""
"strings_to_translate.php:84","Vídeo",""
"strings_to_translate.php:85","Teatro",""
"strings_to_translate.php:86","Cinema",""
"strings_to_translate.php:87","Vídeojogos",""
"strings_to_translate.php:88","Computadores",""
"strings_to_translate.php:89","Ler revistas",""
"strings_to_translate.php:90","Fazer compras",""
"strings_to_translate.php:91","Jogar na bolsa",""
"strings_to_translate.php:92","Viajar",""
"strings_to_translate.php:93","Escrever",""
"strings_to_translate.php:94","Automóveis ",""
"strings_to_translate.php:95","Motociclismo",""
"strings_to_translate.php:96","Vida saudável/Nutrição",""
"strings_to_translate.php:97","Campismo",""
"strings_to_translate.php:98","Ópera",""
"strings_to_translate.php:99","Cosmética/Beleza",""
"strings_to_translate.php:100","Férias/Viagens",""
"strings_to_translate.php:101","Jardinagem",""
"strings_to_translate.php:102","Limpeza",""
"strings_to_translate.php:103","Literatura/Livros",""
"strings_to_translate.php:104","Moda/Roupa/Acessórios",""
"strings_to_translate.php:105","Montanhismo",""
"strings_to_translate.php:106","Música/Concertos",""
"strings_to_translate.php:107","Negócios",""
"strings_to_translate.php:111","Eu adoro ter e experimentar produtos novos, e estou sempre à procura deles.",""
"strings_to_translate.php:112","Eu compro produtos novos, se vir neles conveniência",""
"strings_to_translate.php:113","Se os meus amigos me recomendarem um produto novo, normalmente compro.",""
"strings_to_translate.php:114","Apenas compro e experimento produtos novos de vez em quando.",""
"strings_to_translate.php:118","Ator",""
"strings_to_translate.php:119","Administrativo",""
"strings_to_translate.php:120","Advogado",""
"strings_to_translate.php:121","Agente de Segurança",""
"strings_to_translate.php:122","Agricultor",""
"strings_to_translate.php:123","Analista",""
"strings_to_translate.php:124","Antropólogo",""
"strings_to_translate.php:125","Arqueólogo",""
"strings_to_translate.php:126","Arquiteto",""
"strings_to_translate.php:127","Artista",""
"strings_to_translate.php:128","Auditor",""
"strings_to_translate.php:129","Bancário",""
"strings_to_translate.php:130","Barbeiro",""
"strings_to_translate.php:131","Biólogo",""
"strings_to_translate.php:132","Bombeiro",""
"strings_to_translate.php:133","Cabeleireiro",""
"strings_to_translate.php:134","Canalizador",""
"strings_to_translate.php:135","Carpinteiro",""
"strings_to_translate.php:136","Cientista",""
"strings_to_translate.php:137","Comerciante",""
"strings_to_translate.php:138","Comunicação","Location"
"strings_to_translate.php:139","Construtor Civil",""
"strings_to_translate.php:140","Consultor",""
"strings_to_translate.php:141","Contabilista",""
"strings_to_translate.php:142","Cozinheiro",""
"strings_to_translate.php:143","Dançarino",""
"strings_to_translate.php:144","Decorador",""
"strings_to_translate.php:145","Dentista",""
"strings_to_translate.php:146","Designer Gráfico",""
"strings_to_translate.php:147","Designer de Moda",""
"strings_to_translate.php:148","Desportista",""
"strings_to_translate.php:149","Dietista",""
"strings_to_translate.php:150","Doméstico",""
"strings_to_translate.php:151","Economista",""
"strings_to_translate.php:152","Educador de Infância",""
"strings_to_translate.php:153","Eletricista",""
"strings_to_translate.php:154","Empregado de Bar",""
"strings_to_translate.php:155","Empregado de Loja",""
"strings_to_translate.php:156","Empregado de Mesa",""
"strings_to_translate.php:157","Enfermeiro",""
"strings_to_translate.php:158","Engenheiro",""
"strings_to_translate.php:159","Escritor",""
"strings_to_translate.php:160","Escultor",""
"strings_to_translate.php:161","Estudante",""
"strings_to_translate.php:162","Farmacêutico",""
"strings_to_translate.php:163","Físico",""
"strings_to_translate.php:164","Fisioterapeuta",""
"strings_to_translate.php:165","Fotógrafo",""
"strings_to_translate.php:166","Funcionário Público",""
"strings_to_translate.php:167","Geólogo",""
"strings_to_translate.php:168","Gestor","File"
"strings_to_translate.php:169","Governanta",""
"strings_to_translate.php:170","Historiador",""
"strings_to_translate.php:171","Informático",""
"strings_to_translate.php:172","Jardineiro",""
"strings_to_translate.php:173","Jornalista",""
"strings_to_translate.php:174","Juiz",""
"strings_to_translate.php:175","Marinheiro",""
"strings_to_translate.php:176","Marketeer",""
"strings_to_translate.php:177","Massagista",""
"strings_to_translate.php:178","Matemático",""
"strings_to_translate.php:179","Mecânico",""
"strings_to_translate.php:180","Médico",""
"strings_to_translate.php:181","Militar",""
"strings_to_translate.php:182","Mineiro",""
"strings_to_translate.php:183","Modelo",""
"strings_to_translate.php:184","Motorista",""
"strings_to_translate.php:185","Músico",""
"strings_to_translate.php:186","Nutricionista",""
"strings_to_translate.php:187","Operário",""
"strings_to_translate.php:188","Ótico",""
"strings_to_translate.php:189","Paisagista",""
"strings_to_translate.php:190","Pasteleiro",""
"strings_to_translate.php:191","Pescador",""
"strings_to_translate.php:192","Pintor","Points"
"strings_to_translate.php:193","Polícia",""
"strings_to_translate.php:194","Professor",""
"strings_to_translate.php:195","Professor de Fitness",""
"strings_to_translate.php:196","Programador","saved"
"strings_to_translate.php:197","Psicólogo",""
"strings_to_translate.php:198","Publicitário",""
"strings_to_translate.php:199","Químico",""
"strings_to_translate.php:200","Rececionista",""
"strings_to_translate.php:201","Soldador",""
"strings_to_translate.php:202","Talhante",""
"strings_to_translate.php:203","Taxista",""
"strings_to_translate.php:204","Técnico de Saúde",""
"strings_to_translate.php:205","Trabalhador da Construção Civil",""
"strings_to_translate.php:206","Trabalho Social",""
"strings_to_translate.php:207","Turismo",""
"strings_to_translate.php:208","Urbanista",""
"strings_to_translate.php:209","Vendedor",""
"strings_to_translate.php:210","Veterinário","Surveys"
"strings_to_translate.php:211","Vigilante",""
"strings_to_translate.php:215","Normalmente faço as coisas sozinho. Assim posso fazer o que quero.",""
"strings_to_translate.php:216","Se os meus amigos tomarem as decisões, normalmente eu participo sempre",""
"strings_to_translate.php:217","Quase sempre decidimos em conjunto o que fazer.",""
"strings_to_translate.php:218","Eu sugiro frequentemente o que devemos fazer e convenço os meus amigos.",""
"strings_to_translate.php:219","Eu planeio na maior parte das vezes o que fazemos.",""
"strings_to_translate.php:223","Facebook",""
"strings_to_translate.php:224","Twitter",""
"strings_to_translate.php:225","Google +",""
"strings_to_translate.php:226","Myspace",""
"strings_to_translate.php:227","Orkut",""
"strings_to_translate.php:228","MSN",""
"strings_to_translate.php:229","LinkedIn",""
"strings_to_translate.php:230","Hi5",""
"strings_to_translate.php:231","Flickr",""
"strings_to_translate.php:232","Pinterest","Interests"
"strings_to_translate.php:233","Netlog",""
"strings_to_translate.php:234","Foursquare",""
"strings_to_translate.php:235","Bebo",""
"strings_to_translate.php:236","Istagr.am",""
"strings_to_translate.php:240 strings_to_translate.php:241 strings_to_translate.php:242","Com que frequência usas as seguintes tecnologias?",""
"strings_to_translate.php:246 strings_to_translate.php:266 strings_to_translate.php:286 strings_to_translate.php:306 strings_to_translate.php:326 strings_to_translate.php:346 strings_to_translate.php:366","flags",""
"strings_to_translate.php:247 strings_to_translate.php:267 strings_to_translate.php:287 strings_to_translate.php:307 strings_to_translate.php:327 strings_to_translate.php:347 strings_to_translate.php:367","Condições de utilização","Terms and Conditions"
"strings_to_translate.php:248 strings_to_translate.php:268 strings_to_translate.php:288 strings_to_translate.php:308 strings_to_translate.php:328 strings_to_translate.php:348 strings_to_translate.php:368","Entrada","Enter"
